id,ECO_NAME,feature_x,feature_y,BIOME ID,Carbon Storage Trees - kg per Tree,Carbon Storage Rooftops - kg per m2^2,Oxygen Trees - kg / tree,Oxygen Rooftops - kg / m2,Carbon Dioxide Cars - kg / car,Urban Cooling Trees - Kelvin / tree,Urban Cooling Rooftops - Kelvin / m2^2
1137,Sahara desert,"27,553,296,533,980,600","18,624,706,206,720,500",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1138,Sahara desert,"19,183,413,223,058,700","25,658,620,074,566,900",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1139,Sahara desert,"16,940,475,028,592,800","23,295,218,801,016,800",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1140,Sahara desert,"29,804,885,803,381,200","30,071,916,737,655,800",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1141,Sahara desert,"-5,911,002,747,974,310","19,771,878,184,474,800",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1142,Sahara desert,"22,937,250,923,947,900","18,647,367,664,001,100",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1143,Sahara desert,"4,674,496,453,473,870","20,263,270,996,201,800",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1144,Sahara desert,"31,597,455,286,425,700","24,824,751,053,900,200",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1145,Sahara desert,"-5,235,303,790,824,410","19,894,772,180,171,500",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1146,Sahara desert,"25,151,109,948,759,900","28,587,392,815,068,800",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1147,Sahara desert,"30,290,720,413,632,600","26,964,370,567,298,300",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1148,Persian Gulf desert and semi-desert,"47,553,064,716,340,300","28,633,219,979,199,100",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1149,Jian Nan subtropical evergreen forests,"113,505,537,062,358,000","28,876,641,058,670,500",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1150,Jian Nan subtropical evergreen forests,"112,037,988,323,501,000","24,449,675,238,900,700",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1151,Jian Nan subtropical evergreen forests,"114,555,080,974,983,000","28,534,969,560,377,300",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1152,Jian Nan subtropical evergreen forests,"108,517,286,212,467,000","23,433,728,649,690,800",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1153,Jian Nan subtropical evergreen forests,"117,368,984,454,092,000","24,420,300,148,164,400",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1154,Jian Nan subtropical evergreen forests,"115,599,092,725,374,000","26,802,494,342,920,000",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1155,Thar desert,"71,386,067,942,303,500","26,240,241,174,223,400",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1156,Thar desert,"69,696,485,166,647,100","24,352,753,468,086,900",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1157,Red Sea Nubo-Sindian tropical desert and semi-desert,"47,347,978,550,507,900","16,239,352,690,502,100",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1158,Red Sea Nubo-Sindian tropical desert and semi-desert,"37,501,145,706,600,500","24,775,040,609,269,700",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1159,Red Sea Nubo-Sindian tropical desert and semi-desert,"46,328,631,027,858,400","15,685,161,040,552,900",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1160,Red Sea Nubo-Sindian tropical desert and semi-desert,"56,490,335,144,215,400","19,269,822,569,447,000",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1161,Tamaulipan mezquital,"-99,296,699,142,724,300","26,984,642,562,905,300",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1162,Red Sea coastal desert,"32,354,265,523,318,500","29,387,910,324,380,400",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
